City (Old Name)	,City (New Name)
Harrietta,Harrietta MI
Orange Park,Orange Park FL
Dearing,Dearing KS
Boardman,Boardman OH
Coalville,Coalville UT
Crystal Lake,Crystal Lake IL
Port Charlotte,Port Charlotte FL
Leesburg,Leesburg FL
Wappingers Falls,Wappingers Falls NY
O'Fallon,O'Fallon MO
Punta Gorda,Punta Gorda FL
Sugarmill Woods,Sugarmill Woods FL
Golden Valley,Golden Valley MN
Independence,Independence MO
St. George,St. George UT
Tom Bean,Tom Bean TX
Merrick,Merrick NY
Magnolia,Magnolia TX
Belleview,Belleview FL
Washington,Washington MO
Hurricane,Hurricane UT
Hackettstown,Hackettstown NJ
Wildwood,Wildwood MO
Myakka City,Myakka City FL
Denham Springs,Denham Springs LA
Green Cove Springs,Green Cove Springs FL
Oak Ridge,Oak Ridge TN
North Port,North Port FL
Todd Mission,Todd Mission TX
Logan,Logan UT
Martinez,Martinez CA
Covington,Covington LA
Kaysville,Kaysville UT
Locust Grove,Locust Grove GA
Orem,Orem UT
Yuba City,Yuba City CA
Fredericksburg,Fredericksburg VA
Palm Coast,Palm Coast FL
Portland,Portland OR
Ocala,Ocala FL
Plano,Plano TX
Sarasota,Sarasota FL
Lexington,Lexington KY
DeLand,DeLand FL
Temple,Temple TX
Cullman,Cullman AL
Statesville,Statesville NC
Niceville,Niceville FL
Venice,Venice FL
Foley,Foley AL
Cartersville,Cartersville GA
Hudson,Hudson FL
Lake Worth,Lake Worth FL
Opelika,Opelika AL
Little River,Little River SC
Hartford,Hartford CT
Newington,Newington CT
Red Bank,Red Bank NJ
Kings Point,Kings Point NY
New Bern,New Bern NC
Spring Hill,Spring Hill FL
Fort Pierce,Fort Pierce FL
Elsinboro,Elsinboro NJ
The Meadows,The Meadows FL
Decatur,Decatur GA
The Villages,The Villages FL
Berkeley Township,Berkeley Township NJ
Plainfield charter Township,Plainfield charter Township MI
Oak Harbor,Oak Harbor WA
Plant City,Plant City FL
Dripping Springs,Dripping Springs TX
Ovilla,Ovilla TX
Bartow,Bartow FL
Conway,Conway AR
Lehi,Lehi UT
Orangeburg,Orangeburg SC
Angleton,Angleton TX
Cape Coral,Cape Coral FL
Mansfield,Mansfield TX
Wendell,Wendell NC
Brandon,Brandon FL
Douglasville,Douglasville GA
Lake Mary,Lake Mary FL
Brentwood,Brentwood TN
Missouri City,Missouri City TX
Jacksonville Beach,Jacksonville Beach FL
Bradenton,Bradenton FL
Gilbert,Gilbert AZ
Timberwood Park,Timberwood Park TX
Acworth,Acworth GA
North Bergen,North Bergen NJ
Bee Cave,Bee Cave TX
Verona,Verona NJ
Hutto,Hutto TX
Georgetown,Georgetown TX
Brownsfield,Brownsfield TX
Princeton,Princeton TX
Belton,Belton TX
Greer,Greer SC
Lakewood Township,Lakewood Township NJ
Hendersonville,Hendersonville TN
Joplin,Joplin MO
Riverview,Riverview FL
Leander,Leander TX
Maricopa,Maricopa AZ
Prosper,Prosper TX
Spring,Spring TX
Palm Bay,Palm Bay FL
Deltona,Deltona FL
Eagle,Eagle ID
Manor,Manor TX
Huntsville,Huntsville AL
Anderson,Anderson SC
Rexburg,Rexburg ID
Forney,Forney TX
Taylors,Taylors SC
Carolina Forest,Carolina Forest SC
Port St. Lucie,Port St. Lucie FL
Edmond,Edmond OK
Rex,Rex GA
Hoover,Hoover AL
Centerton,Centerton AR
American Fork,American Fork UT
Dunedin,Dunedin FL
Roseville,Roseville CA
Bryan,Bryan TX
Belfair,Belfair WA
Rockwall,Rockwall TX
Ferry Pass,Ferry Pass FL
Grafton,Grafton WI
Morristown,Morristown TN
Panama City,Panama City FL
Texas City,Texas City TX
Gallatin,Gallatin TN
Greater Carrollwood,Greater Carrollwood FL
Pelham,Pelham AL
Fort Campbell,Fort Campbell KY
Lodi,Lodi CA
Groveland,Groveland FL
Keystone,Keystone FL
Weatherford,Weatherford TX
Athens,Athens GA
Wesley Chapel South,Wesley Chapel South FL
Marana,Marana AZ
Parkland,Parkland FL
Baytown,Baytown TX
Columbia,Columbia SC
Irmo,Irmo SC
Hanford,Hanford CA
Land O' Lakes,Land O' Lakes FL
West Palm Beach,West Palm Beach FL
Yukon,Yukon OK
Sugar Land,Sugar Land TX
Saratoga Springs,Saratoga Springs UT
Ladson,Ladson SC
Little Rock,Little Rock AR
Burlington,Burlington NC
Suisun City,Suisun City CA
Killeen,Killeen TX
Bullhead City,Bullhead City AZ
Euclid,Euclid OH
Fruitville,Fruitville FL
Chandler,Chandler AZ
North Augusta,North Augusta SC
Hurst,Hurst TX
Bonita Springs,Bonita Springs FL
Naples,Naples FL
Destin,Destin FL
Taylor,Taylor MI
Carrollton,Carrollton TX
Mountain City,Mountain City TN
Pensacola,Pensacola FL
Gainesville,Gainesville FL
Saint Cloud,Saint Cloud FL
Milledgeville,Milledgeville GA
Canyon Lake,Canyon Lake TX
Manteca,Manteca CA
Bessemer,Bessemer AL
Leland,Leland NC
Smyrna,Smyrna GA
Bellview,Bellview FL
Surprise,Surprise AZ
Provo,Provo UT
Greenville,Greenville SC
Lake Havasu City,Lake Havasu City AZ
Gulfport,Gulfport MS
Tega Cay,Tega Cay SC
Yucca Valley,Yucca Valley CA
Annapolis,Annapolis MD
Walterhill,Walterhill TN
Roxbury Township,Roxbury Township NJ
Saint Petersburg,Saint Petersburg FL
Altamonte Springs,Altamonte Springs FL
Mount Juliet,Mount Juliet TN
Martinsburg,Martinsburg WV
Cibolo,Cibolo TX
San Tan Valley,San Tan Valley AZ
Bulverde,Bulverde TX
Buckeye,Buckeye AZ
Goshen,Goshen IN
Katy,Katy TX
Stockbridge,Stockbridge GA
Casselberry,Casselberry FL
Gadsden,Gadsden AL
Winter Haven,Winter Haven FL
Sugar Hill,Sugar Hill GA
Pinellas Park,Pinellas Park FL
Five Forks,Five Forks SC
Clarksville,Clarksville TN
Wylie,Wylie TX
Dallas,Dallas TX
Rosenberg,Rosenberg TX
Aiken,Aiken SC
Maryville,Maryville TN
Fruit Cove,Fruit Cove FL
Ormond Beach,Ormond Beach FL
Round Rock,Round Rock TX
Chelmsford,Chelmsford MA
San Benito,San Benito TX
West Lake Hills,West Lake Hills TX
Grovetown,Grovetown GA
Alachua,Alachua FL
Bloomingdale,Bloomingdale FL
Apopka,Apopka FL
Inniswold,Inniswold LA
Kingman,Kingman AZ
Pensacola Beach,Pensacola Beach FL
Palm City,Palm City FL
Friendswood,Friendswood TX
Hunters Creek Village,Hunters Creek Village TX
Conyers,Conyers GA
Fortuna Foothills,Fortuna Foothills AZ
Bakersfield,Bakersfield CA
Maitland,Maitland FL
Tallahassee,Tallahassee FL
Easley,Easley SC
Birmingham,Birmingham AL
Cypress,Cypress TX
Corpus Christi,Corpus Christi TX
Winter Garden,Winter Garden FL
Mesa,Mesa AZ
Alabaster,Alabaster AL
Vestavia Hills,Vestavia Hills AL
Candler-McAfee,Candler-McAfee GA
Woodstock,Woodstock GA
Clovis,Clovis CA
McKinney,McKinney TX
Atascocita,Atascocita TX
Casas Adobes,Casas Adobes AZ
Palmyra,Palmyra PA
Phenix City,Phenix City AL
Oxford,Oxford MS
Greensboro,Greensboro NC
Modesto,Modesto CA
North Naples,North Naples FL
Rockledge,Rockledge FL
Merritt Island,Merritt Island FL
Gulf Shores,Gulf Shores AL
Collierville,Collierville TN
Peoria,Peoria AZ
Austin,Austin TX
Baton Rouge,Baton Rouge LA
Lehigh Acres,Lehigh Acres FL
The Woodlands,The Woodlands TX
Frisco,Frisco TX
Munnsville,Munnsville NY
Newport,Newport RI
Holderness,Holderness NH
Reserve Township,Reserve Township PA
Altoona,Altoona PA
Westwood,Westwood MA
Point Clear,Point Clear AL
Millvale,Millvale PA
Edwardsburg,Edwardsburg MI
Edgewood,Edgewood MD
Township of Washington,Township of Washington NJ
Waverly,Waverly IA
Sharon,Sharon MA
Liberty,Liberty MO
Heber Springs,Heber Springs AR
Homosassa,Homosassa FL
Flatwoods,Flatwoods KY
Charlotte,Charlotte NC
Valle Vista,Valle Vista CA
Bonne Terre,Bonne Terre MO
LaGrange,LaGrange GA
Vassar,Vassar MI
Ocean City,Ocean City NJ
Coloma charter Township,Coloma charter Township MI
Happy Valley,Happy Valley OR
Long Beach,Long Beach CA
Lake Tapawingo,Lake Tapawingo MO
Gilmer,Gilmer TX
Lakemore,Lakemore OH
Starke,Starke FL
Sanibel,Sanibel FL
Wilkinsburg,Wilkinsburg PA
Lake City,Lake City FL
Thomas Township,Thomas Township MI
Little Canada,Little Canada MN
Ocean Township,Ocean Township NJ
York,York PA
Murrysville,Murrysville PA
Mango,Mango FL
Cudahy,Cudahy WI
Dover,Dover DE
Oakbrook Terrace,Oakbrook Terrace IL
Butte,Butte MT
Danville,Danville VA
Abbeville,Abbeville SC
Phelps,Phelps NY
Knik-Fairview,Knik-Fairview AK
Steelville,Steelville MO
LaSalle,LaSalle IL
Marlton,Marlton NJ
Abington,Abington PA
Shaker Heights,Shaker Heights OH
Forrest City,Forrest City AR
Sioux City,Sioux City IA
Warren,Warren OH
Shawnee,Shawnee KS
Waynesboro,Waynesboro VA
Owosso charter Township,Owosso charter Township MI
La Verne,La Verne CA
Beechwood,Beechwood OH
Gettysburg,Gettysburg PA
Mount Clemens,Mount Clemens MI
Bartlesville,Bartlesville OK
Lawrenceburg,Lawrenceburg IN
Beech Grove,Beech Grove IN
Rogers,Rogers AR
Mount Dora,Mount Dora FL
Toccoa,Toccoa GA
